epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9822,1.54714,3.16896,1.64167,0.87024,0.375,0.4414,0.32019,1.45261,3.43902,1.64631,0.000552058,0.000552058,0.000552058
2,89.2624,1.69426,2.41808,1.71948,0.19679,0.21738,0.18394,0.12375,1.92494,3.11497,2.21101,0.00110224,0.00110224,0.00110224
3,121.282,1.80467,2.6177,1.85539,0.46553,0.36184,0.44288,0.32986,1.51676,1.94637,1.74145,0.00164692,0.00164692,0.00164692
4,152.635,1.82324,2.30697,1.88817,0.86799,0.33553,0.33706,0.18747,1.97222,3.92939,2.38589,0.00164225,0.00164225,0.00164225
5,179.132,1.85971,2.21743,1.83699,0.89568,0.34936,0.48206,0.3224,1.49116,3.04395,1.60146,0.00163399,0.00163399,0.00163399
6,209.131,1.74129,2.12741,1.79086,0.4892,0.45061,0.49118,0.31957,1.66237,2.55432,1.94362,0.00162574,0.00162574,0.00162574
7,238.618,1.72733,1.9261,1.78655,0.49666,0.45665,0.46514,0.30361,1.75138,1.75516,1.98199,0.00161749,0.00161749,0.00161749
8,268.873,1.68703,1.90631,1.73547,0.91859,0.36842,0.47082,0.3171,1.48332,1.57967,1.69269,0.00160924,0.00160924,0.00160924
9,297.444,1.62311,1.87295,1.71169,0.98322,0.37883,0.56686,0.37931,1.37268,1.52519,1.6625,0.00160099,0.00160099,0.00160099
10,328.849,1.66921,1.6702,1.74974,0.39126,0.56516,0.52502,0.3628,1.41799,1.41309,1.64405,0.00159274,0.00159274,0.00159274
11,358.365,1.59323,1.69841,1.68172,0.96866,0.38158,0.57877,0.38283,1.39124,1.83652,1.64083,0.00158448,0.00158448,0.00158448
12,390.358,1.55618,1.61283,1.70461,0.58708,0.59174,0.60718,0.40439,1.34432,1.25448,1.61592,0.00157623,0.00157623,0.00157623
13,421.319,1.53395,1.5866,1.66646,0.45326,0.60382,0.59334,0.40885,1.29612,1.31297,1.5731,0.00156798,0.00156798,0.00156798
14,452.153,1.52815,1.56793,1.65639,0.93722,0.42763,0.57424,0.38642,1.4125,1.48193,1.65606,0.00155973,0.00155973,0.00155973
15,481.924,1.50781,1.60889,1.64683,0.48998,0.65281,0.63122,0.41346,1.32094,1.20238,1.61865,0.00155148,0.00155148,0.00155148
16,512.827,1.44595,1.45424,1.56211,0.5664,0.60707,0.56577,0.39941,1.28452,1.25655,1.55481,0.00154323,0.00154323,0.00154323
17,542.282,1.49793,1.45514,1.63946,0.51221,0.55869,0.63272,0.42376,1.21407,1.29268,1.49137,0.00153497,0.00153497,0.00153497
18,567.962,1.46683,1.45295,1.62889,0.58795,0.71476,0.63184,0.42476,1.37142,1.31518,1.65101,0.00152672,0.00152672,0.00152672
19,600.31,1.41876,1.39176,1.62126,0.62445,0.62626,0.62778,0.41394,1.26914,1.22616,1.55878,0.00151847,0.00151847,0.00151847
20,628.656,1.3994,1.35126,1.59032,0.55955,0.47666,0.53469,0.39308,1.29053,1.34352,1.54228,0.00151022,0.00151022,0.00151022
21,657.861,1.43137,1.37833,1.59089,0.51542,0.63903,0.63494,0.43581,1.2491,1.23876,1.54742,0.00150197,0.00150197,0.00150197
22,687.356,1.41181,1.34851,1.58215,0.55056,0.63199,0.65625,0.4221,1.29237,1.23578,1.57072,0.00149372,0.00149372,0.00149372
23,719.552,1.45121,1.36624,1.62284,0.59283,0.69944,0.69172,0.45676,1.22806,1.13954,1.51391,0.00148546,0.00148546,0.00148546
24,750.671,1.34579,1.27075,1.55597,0.54703,0.66953,0.65484,0.45769,1.18087,1.05146,1.48804,0.00147721,0.00147721,0.00147721
25,782.681,1.39249,1.2567,1.51086,0.52183,0.72026,0.64118,0.42945,1.23175,1.12873,1.52426,0.00146896,0.00146896,0.00146896
26,811.2,1.3337,1.22955,1.53567,0.57566,0.74135,0.65208,0.45425,1.16025,1.11636,1.49056,0.00146071,0.00146071,0.00146071
27,841.437,1.30686,1.262,1.50171,0.69557,0.69199,0.71656,0.46838,1.22999,1.15859,1.52341,0.00145246,0.00145246,0.00145246
28,871.287,1.36101,1.27133,1.54928,0.55721,0.69944,0.67255,0.4349,1.29007,1.11872,1.57332,0.00144421,0.00144421,0.00144421
29,900.017,1.33138,1.26606,1.5275,0.65826,0.65477,0.65048,0.44815,1.25085,1.19006,1.54014,0.00143595,0.00143595,0.00143595
30,928.159,1.33293,1.2576,1.52391,0.56968,0.68628,0.6372,0.45864,1.15797,1.1324,1.46895,0.0014277,0.0014277,0.0014277
31,953.844,1.25377,1.22212,1.47668,0.6252,0.68709,0.67524,0.46803,1.19204,1.13488,1.51517,0.00141945,0.00141945,0.00141945
32,984.134,1.29733,1.20149,1.47486,0.60726,0.68399,0.65596,0.44682,1.20774,1.17572,1.50154,0.0014112,0.0014112,0.0014112
33,1011.9,1.24542,1.08977,1.43297,0.5734,0.7287,0.68942,0.48067,1.09139,0.99105,1.41316,0.00140295,0.00140295,0.00140295
34,1042.29,1.24166,1.1641,1.44576,0.57418,0.75451,0.66044,0.47466,1.10695,1.06236,1.43501,0.0013947,0.0013947,0.0013947
35,1072.34,1.25162,1.10717,1.45143,0.64859,0.69222,0.69946,0.47144,1.14013,1.11999,1.45952,0.00138644,0.00138644,0.00138644
36,1101.63,1.24839,1.19897,1.46511,0.67204,0.6953,0.70423,0.48239,1.12651,1.07991,1.43607,0.00137819,0.00137819,0.00137819
37,1127.2,1.27055,1.21703,1.50225,0.65725,0.62481,0.70045,0.47963,1.13537,1.05174,1.47439,0.00136994,0.00136994,0.00136994
38,1158.99,1.22502,1.08617,1.43623,0.69553,0.73337,0.74873,0.48991,1.15627,1.00419,1.49712,0.00136169,0.00136169,0.00136169
39,1179.94,1.20536,1.13556,1.44391,0.71249,0.68639,0.74818,0.51366,1.12635,0.99238,1.47451,0.00135344,0.00135344,0.00135344
40,1198.91,1.21921,1.11153,1.45422,0.68022,0.7682,0.7503,0.4976,1.13454,0.92875,1.46067,0.00134519,0.00134519,0.00134519
41,1218.65,1.197,1.08636,1.42897,0.69565,0.73477,0.7301,0.50107,1.14567,0.98176,1.4683,0.00133693,0.00133693,0.00133693
42,1240.31,1.19624,1.05375,1.43049,0.66104,0.69394,0.69521,0.49392,1.09584,1.00703,1.43573,0.00132868,0.00132868,0.00132868
43,1261.73,1.23755,1.13024,1.45636,0.75935,0.67286,0.73801,0.50103,1.08174,1.0336,1.43086,0.00132043,0.00132043,0.00132043
44,1286.53,1.1823,1.10101,1.41855,0.6325,0.76875,0.72065,0.50538,1.10817,0.99112,1.44104,0.00131218,0.00131218,0.00131218
45,1313.78,1.24209,1.09038,1.44487,0.62409,0.74766,0.68113,0.47261,1.16714,1.01756,1.49251,0.00130393,0.00130393,0.00130393
46,1338.43,1.19007,1.08005,1.41957,0.71029,0.7345,0.75395,0.51689,1.09404,1.04221,1.42835,0.00129568,0.00129568,0.00129568
47,1366.76,1.13524,1.05772,1.37917,0.72611,0.72792,0.75297,0.51562,1.15566,1.03389,1.47481,0.00128742,0.00128742,0.00128742
48,1394.42,1.19265,1.07934,1.43282,0.74089,0.68025,0.75656,0.51141,1.12535,1.00932,1.48358,0.00127917,0.00127917,0.00127917
49,1425.33,1.1394,1.01236,1.39634,0.67238,0.7819,0.72699,0.49943,1.08812,0.94757,1.42148,0.00127092,0.00127092,0.00127092
50,1458.87,1.18433,1.03581,1.42482,0.70384,0.75451,0.76986,0.52035,1.12421,0.91572,1.44972,0.00126267,0.00126267,0.00126267
51,1493.42,1.12489,1.05045,1.37043,0.75758,0.68845,0.7589,0.52838,1.09291,0.93276,1.43186,0.00125442,0.00125442,0.00125442
52,1529.21,1.17149,1.12248,1.44615,0.66637,0.74426,0.73525,0.49872,1.16034,0.95871,1.47197,0.00124617,0.00124617,0.00124617
53,1566.42,1.17281,1.05996,1.43498,0.74948,0.7345,0.78431,0.53752,1.1051,0.95545,1.4421,0.00123791,0.00123791,0.00123791
54,1605.16,1.14603,1.00879,1.38331,0.8281,0.72285,0.78457,0.54699,1.09518,0.94394,1.42035,0.00122966,0.00122966,0.00122966
55,1642.79,1.10368,0.97829,1.34913,0.70132,0.73423,0.75739,0.52042,1.09611,0.94831,1.42983,0.00122141,0.00122141,0.00122141
56,1681.39,1.14978,0.96178,1.39651,0.65858,0.80218,0.75632,0.52821,1.06743,0.96706,1.42793,0.00121316,0.00121316,0.00121316
57,1719.8,1.10891,0.95429,1.39052,0.71139,0.81669,0.78136,0.52975,1.11434,0.89672,1.46927,0.00120491,0.00120491,0.00120491
58,1760.58,1.12092,0.97417,1.402,0.76167,0.74079,0.77719,0.53018,1.088,0.8995,1.43037,0.00119666,0.00119666,0.00119666
59,1800.55,1.11519,0.93553,1.37528,0.69013,0.76217,0.7593,0.51465,1.14063,0.92686,1.47346,0.0011884,0.0011884,0.0011884
60,1841.02,1.13801,0.96547,1.39929,0.82577,0.74019,0.80234,0.5305,1.1485,0.9342,1.48261,0.00118015,0.00118015,0.00118015
61,1880.69,1.12991,0.96812,1.39207,0.7031,0.79361,0.7264,0.51452,1.09261,0.96262,1.45163,0.0011719,0.0011719,0.0011719
62,1925.39,1.11129,0.92337,1.37495,0.60072,0.74563,0.69817,0.48526,1.1668,1.00192,1.48212,0.00116365,0.00116365,0.00116365
63,1970.04,1.09193,0.98548,1.38128,0.66527,0.79433,0.74296,0.53051,1.13591,0.97169,1.48285,0.0011554,0.0011554,0.0011554
64,2008.6,1.07437,0.94212,1.35037,0.7107,0.74135,0.74682,0.53309,1.11192,0.93761,1.45609,0.00114715,0.00114715,0.00114715
65,2046.91,1.06619,0.93873,1.33421,0.67448,0.80468,0.7643,0.5261,1.09735,0.90068,1.44832,0.00113889,0.00113889,0.00113889
66,2088.23,1.10515,0.91525,1.37577,0.77035,0.79209,0.82636,0.55686,1.09262,0.91783,1.47561,0.00113064,0.00113064,0.00113064
67,2128.01,1.08667,0.92166,1.37266,0.74486,0.77587,0.77968,0.52251,1.14632,0.9193,1.50882,0.00112239,0.00112239,0.00112239
68,2160.75,1.0799,0.94487,1.31916,0.76061,0.75687,0.80845,0.55506,1.13796,0.84975,1.49977,0.00111414,0.00111414,0.00111414
69,2191.08,1.1097,0.93108,1.37865,0.7659,0.8047,0.84164,0.56761,1.08805,0.83078,1.4546,0.00110589,0.00110589,0.00110589
70,2222.02,1.10421,0.9148,1.38768,0.83592,0.76902,0.84195,0.57192,1.09233,0.81727,1.45433,0.00109764,0.00109764,0.00109764
71,2249.63,1.01129,0.81901,1.30772,0.74544,0.84355,0.79469,0.55145,1.08496,0.83206,1.4488,0.00108938,0.00108938,0.00108938
72,2274.37,1.05282,0.84615,1.33453,0.72802,0.75424,0.76337,0.54233,1.15584,0.93656,1.50467,0.00108113,0.00108113,0.00108113
73,2301.97,1.04121,0.85955,1.32405,0.75312,0.76875,0.79298,0.53948,1.13091,0.89758,1.48427,0.00107288,0.00107288,0.00107288
74,2329.79,1.04623,0.86355,1.34179,0.74076,0.80272,0.80899,0.55147,1.08229,0.89794,1.45429,0.00106463,0.00106463,0.00106463
75,2355.91,1.0507,0.91962,1.36059,0.76783,0.76071,0.76318,0.54691,1.10183,0.90381,1.46379,0.00105638,0.00105638,0.00105638
76,2379.84,1.01314,0.90416,1.30824,0.81486,0.76875,0.81898,0.56243,1.06967,0.82769,1.42872,0.00104813,0.00104813,0.00104813
77,2409.09,1.01139,0.92111,1.30893,0.8027,0.7799,0.81519,0.58825,1.04397,0.77544,1.4217,0.00103987,0.00103987,0.00103987
